"id","name","name_unac","state"
"1200013","Acrelândia","Acrelandia","AC"
"1200054","Assis Brasil","Assis Brasil","AC"
"1200104","Brasiléia","Brasileia","AC"
"1200138","Bujari","Bujari","AC"
"1200179","Capixaba","Capixaba","AC"
"1200203","Cruzeiro do Sul","Cruzeiro do Sul","AC"
"1200252","Epitaciolândia","Epitaciolandia","AC"
"1200302","Feijó","Feijo","AC"
"1200328","Jordão","Jordao","AC"
"1200336","Mâncio Lima","Mancio Lima","AC"
"1200344","Manoel Urbano","Manoel Urbano","AC"
"1200351","Marechal Thaumaturgo","Marechal Thaumaturgo","AC"
"1200385","Plácido de Castro","Placido de Castro","AC"
"1200393","Porto Walter","Porto Walter","AC"
"1200401","Rio Branco","Rio Branco","AC"
"1200427","Rodrigues Alves","Rodrigues Alves","AC"
"1200435","Santa Rosa do Purus","Santa Rosa do Purus","AC"
"1200450","Senador Guiomard","Senador Guiomard","AC"
"1200500","Sena Madureira","Sena Madureira","AC"
"1200609","Tarauacá","Tarauaca","AC"
"1200708","Xapuri","Xapuri","AC"
"1200807","Porto Acre","Porto Acre","AC"
"2700102","Água Branca","Agua Branca","AL"
"2700201","Anadia","Anadia","AL"
"2700300","Arapiraca","Arapiraca","AL"
"2700409","Atalaia","Atalaia","AL"
"2700508","Barra de Santo Antônio","Barra de Santo Antonio","AL"
"2700607","Barra de São Miguel","Barra de Sao Miguel","AL"
"2700706","Batalha","Batalha","AL"
"2700805","Belém","Belem","AL"
"2700904","Belo Monte","Belo Monte","AL"
"2701001","Boca da Mata","Boca da Mata","AL"
"2701100","Branquinha","Branquinha","AL"
"2701209","Cacimbinhas","Cacimbinhas","AL"
"2701308","Cajueiro","Cajueiro","AL"
"2701357","Campestre","Campestre","AL"
"2701407","Campo Alegre","Campo Alegre","AL"
"2701506","Campo Grande","Campo Grande","AL"
"2701605","Canapi","Canapi","AL"
"2701704","Capela","Capela","AL"
"2701803","Carneiros","Carneiros","AL"
"2701902","Chã Preta","Cha Preta","AL"
"2702009","Coité do Nóia","Coite do Noia","AL"
"2702108","Colônia Leopoldina","Colonia Leopoldina","AL"
"2702207","Coqueiro Seco","Coqueiro Seco","AL"
